code,market,name
600004,SH,白云机场
000300,SH,沪深300
000905,SH,中证500
000852,SH,中证1000
399006,SZ,创业板指
000688,SH,科创50
000922,SH,中证红利
000001,SH,上证指数
600004,SH,白云机场
600009,SH,上海机场
600030,SH,中信证券
600031,SH,三一重工
600660,SH,福耀玻璃
600887,SH,伊利股份
603288,SH,海天味业
603866,SH,桃李面包
000089,SZ,深圳机场
000333,SZ,美的集团
000651,SZ,格力电器
002027,SZ,分众传媒
600406,SH,国电南瑞
600519,SH,贵州茅台
601899,SH,紫金矿业
601965,SH,中国汽研
603605,SH,珀莱雅
000063,SZ,中兴通讯
000333,SZ,美的集团
000568,SZ,泸州老窖
000858,SZ,五 粮 液
000963,SZ,华东医药
000977,SZ,浪潮信息
000999,SZ,华润三九
002078,SZ,太阳纸业
002262,SZ,恩华药业
002311,SZ,海大集团
HSI,HKI,恒生指数
HSCE,HKI,恒生中国企业指数
HSTECH,HKI,恒生科技指数
00700,HK,腾讯控股
01810,HK,小米集团
09988,HK,阿里巴巴
09633,HK,农夫山泉
02513,HK,智谱
09992,HK,泡泡玛特
